b4036,MALTtexi
b4213,3NTD9pp
b2835,2AGPG181tipp
b2836,2AGPGAT181
b3553,DKGLCNR2y
b1009,3AMACHYD
b0347,3HPPPNH
b3580,3KGK
b1093,3OAR80_reverse
b2323,OPMEACPS
b1095,3OAS181
b1397,3OXCOAT
b1386,TYROXDApp
b0004,THRS
b1192,UM4PCP
b4266,5DGLCNR_reverse
b4265,IDONt2rpp_reverse
b0159,MTAN
b4481,AADDGT
b1927,AAMYL
b3571,AAMYLpp
b2901,AB6PGH
b1444,ABUTD
b2663,ABUTt2pp
b2223,HEXt2rpp_reverse
s0001,SO2tpp_reverse
b1463,ACANTHAT
b1993,ADOCBIK
b4069,ACS
b1119,ACGAMK
b3784,ACGAMT
b3959,ACGK
b2818,ACGS
b2428,ACM6PH
b3794,ACMAMUT
b3224,ACNAMt2pp
b3225,ACNML
b0221,ACOAD8f_reverse
b3957,NACODA
b1519,ACONMT
b4067,GLYCLTt4pp
b1623,DADA
b1096,ADCL
b3665,ADD
b0474,DADK_reverse
b0120,ADMDC
b3806,ADNCYC
b0030,XTSNH
b2406,XTSNt2rpp_reverse
b0411,URItex_reverse
b1992,ADOCBLS
b0469,ADPT
b2750,ADSK
b1131,ADSL2r_reverse
b4177,ADSS
b0677,AGDC
b0110,AM4PA
b1107,AGMH
b0433,AGMt2pp
b3619,AGMHE
b2937,AGMT
b3018,AGPAT181
b3958,AGPR_reverse
b4006,IMPC_reverse
b0522,AIRC2
b0523,AIRC3_reverse
b2587,AKGt2rpp_reverse
b1488,ALAALAD
b1325,ALAGLUE_reverse
b2697,ALATRS
b4208,DSERt2pp
b0007,GLYt4pp
b0356,FALDH2_reverse
b1385,ALDD19xr_reverse
b1300,GGGABADr_reverse
b3588,ALDD3y
b4084,ALLK
b4090,ALLPI_reverse
b0516,ALLTAMH
b0512,ALLTN
b0511,ALLTNt2rpp_reverse
b4085,ALLULPE_reverse
b3945,APPLDHr_reverse
b3091,ALTRH
b3416,AMALT4
b3223,AMANAPEr_reverse
b3222,AMANK
b0774,AMAOTr_reverse
b3833,OMBZLM
b3994,AMPMS2
b1982,AMPN
b1640,ANHMK
b1263,ANPRT
b0776,AOXSr2
b0049,GP4GH
b4129,AP4AS
b0121,SPMS
b3059,APG3PAT181
b0968,APH181
b0414,DHPPDA2
b0062,ARAI_reverse
b2841,ARBt2rpp_reverse
b1528,MELIBt3ipp
b4115,ARGAGMt7pp_reverse
b4117,ARGDC
b2938,ARGDCpp
b1605,ARGORNt7pp_reverse
b3960,ARGSL_reverse
b3172,ARGSS
b1876,ARGTRS
b2923,LYSt3pp
b3433,ASAD_reverse
b4192,ASCBPL
b2957,GLUNpp
b0674,ASNS1
b3744,ASNS2
b0930,ASNTRS
b1453,ASNt2rpp_reverse
b3502,ASO3t8pp
b0131,ASP1DC
b2574,ASPO6
b4139,ASPT
b0928,ASPTA_reverse
b1866,ASPTRS
b3528,SUCCt2_2pp
b4077,GLUt2rpp_reverse
b1747,AST
b1539,LSERDHr_reverse
b2019,ATPPRT
b0312,BETALDHy
b0827,WCOS
b4214,BPNT
b3551,BSORy
b0775,BTS5
b1216,CA2t3pp
b4132,CADVtpp
b3196,CAt6pp_reverse
b1270,CBLAT_reverse
b0444,CCGS
b3469,ZN2abcpp
b3040,ZN2tpp
b3918,CDAPPA181
b2794,CDGR
b1208,CDPMEK
b1661,CFAS180G
b0311,CHOLD
b2329,CHORS
b4039,CHRPL
b2416,CHTBSptspp
b0612,CITt7pp
b2174,COLIPAKpp
b0914,PGP181abcpp
b2765,CPH4S
b2436,CPPPGO
b3867,CPPPGO2
b0038,CRNCBCT_reverse
b0037,CTBTCAL2
b0036,CRNCDH_reverse
b4111,PROt2rpp_reverse
b0040,CRNt8pp
b0720,CS
b0337,CSND
b0336,CSNt2pp
b3846,CTECOAI8_reverse
b2780,CTPS2
b0123,FEROpp
b0484,CU1abcpp
b3425,CYANST
b1308,CYANSTpp
b0340,CYNTAH
b0341,CYNTt2pp
b1919,CYSDDS
b2810,CYSSADS
b0526,CYSTRS
b2143,DCYTD
b2066,URIK2
b0910,CYTK2_reverse
b1189,DAAD
b4042,DAGK181
b2871,DAPAL
b2838,DAPDC
b3809,DAPE_reverse
b0175,DASYN181
b3041,DB4PS
b0778,DBTS
b1734,DC6PH
b2065,DCTPD
b2344,TTDCEAtexi
b3693,DDGALK
b3909,DDGLCNt2rpp_reverse
b3526,DDGLK
b4477,DDPGALA_reverse
b3648,GK1_reverse
b2964,INSt2pp
b1393,DHACOAH_reverse
b3771,DHAD2
b0596,DHBD_reverse
b0594,DHBS
b2541,DHPPD
b0348,HPPPNDO
b0031,DHDPRy
b2478,DHDPS
b2315,DHFS
b1606,DHMPTR
b3930,DHNAOT4
b2262,DHNCOAS
b0736,DHNCOAT
b3058,DHNPTE_reverse
b0945,DHORD5
b1062,DHORTS_reverse
b3177,DHPS2
b0578,DHPTDNRN
b2303,DHPTPE_reverse
b3389,DHQS
b1693,DHQTi
b0421,GRTT
b0029,IPDPS
b2232,OHPHM
b3575,DOGULNR
b0103,DPCOAK
b4381,DRPA
b2893,DSBCGT
b0604,DSBGGT
b4122,DTARTD
b1098,DTMPK_reverse
b1238,TMDK1
b0173,DXPRIi
b0420,DXPS
b3564,DXYLK
b1288,EPMEACPR
b3622,O16A4Lpp
b3792,ECAtpp
b1850,OAADC
b1851,EDD
b1054,EDTXS1
b1855,EDTXS4
b2378,EDTXS3
b2779,ENO_reverse
b0583,ENTCS
b0585,ENTERES2
b0822,R5PP
b3666,MAN6Pt6_2pp
b0404,FA80ACPHi
b0452,FACOAE80
b3844,FLVRx
b2925,FBA3_reverse
b2802,FCI_reverse
b2803,FCLK
b0475,FCLT
b0935,FDMO6
b3409,FE2abcpp
b2392,MNt2pp
b3915,HG2t3pp
b3035,FEENTERtex
b0591,FEENTERtpp
b4367,FEOXAMR3
b4209,FESR
b3288,FMETTRS
b0025,RBFK
b2912,FOMETRi
b2374,FORCT_reverse
b2168,FRUK
b3371,FRULYSDG_reverse
b4474,FRULYSE_reverse
b3374,FRULYSK
b3370,PSCLYSt2pp
b4321,FRUURt2rpp_reverse
b1232,FTHFD
b2801,FUCtpp_reverse
b3730,UAGDP
b1002,GAL1PPpp
b0154,G1SAT_reverse
b2533,MI1PP
b4055,TYRPpp
b3608,G3PD2_reverse
b0243,G5SD
b0678,G6PDA
b1852,G6PDH2r_reverse
b3128,GALCTD
b4358,GALCTLO
b4478,GALCTND
b4356,GALCTNLt2pp
b3691,GALCTNt2pp
b0756,GALM2pp
b4119,GALS3
b3628,GALT1
b3093,GALURt2rpp_reverse
b1236,GALUi
b2943,GLCt2pp
b1779,GAPD_reverse
b2500,GARFT_reverse
b1849,GART
b1415,LCADi
b2052,GOFUCR
b2051,GDPMNH
b2467,GDPMNP
b3650,PPGPPDP
b3729,GF6PTA
b1298,GGGABAH
b1301,GGPTRCO
b1297,GGPTRCS
b3882,GHBDHx_reverse
b2551,GHMT2r_reverse
b3432,GLBRAN2
b0459,MALTATr_reverse
b3126,GLCRAL
b3429,GLCS1
b3631,GLCTR1
b3627,GLCTR2
b3626,GLCTR3
b3431,GLDBRAN2
b3430,GLGC
b0680,GLNTRS
b2091,GLTPD_reverse
b0242,GLU5K
b1492,GLUABUTt7pp_reverse
b2688,GLUCYS
b1761,GLUDy_reverse
b2312,GLUPRT
b3967,GLUR_reverse
b1210,GLUTRR
b2400,GLUTRS
b3653,GLUt4pp
b0507,GLXCL
b3927,UREAtpp_reverse
b3617,GLYAT_reverse
b2240,GLYC3Pt6pp
b0514,GLYCK
b3124,GLYCK2
b3926,GLYK
b0212,GLYOX
b2053,GMAND
b3052,GMHEPK
b0200,GMHEPPA
b0104,GMPR
b2507,GMPS2
b2029,GND
b3449,GPDDA5
b2239,GPDDA5pp
b0477,INSK
b2988,GSPMDS
b3500,GTHOr_reverse
b1710,GTHPi
b3447,GTHRDHpp
b2947,GTHS
b2153,GTPCI
b1277,GTPCII2
b3779,GTPDPDP
b2784,GTPDPK
b2883,GUAD
b3654,GUAt2pp
b3092,GUI2_reverse
b1395,HADPCOADH3_reverse
b4040,HBZOPT
b0353,HPPPNt2rpp_reverse
b0261,HCYSMT2
b0428,HEMEOS
b3630,HEPK1
b3625,HEPK2
b3621,HEPT1
b3620,HEPT2
b3632,HEPT3
b3623,HEPT4
b2104,HETZK
b2388,HEX1
b0394,HEX7
b2020,HISTD
b2022,IGPDH
b2514,HISTRS
b0112,HISt2rpp_reverse
b0349,HKNTDH
b3805,HMBS
b0352,HOPNTAL
b0142,HPPK2
b0508,HPYRI_reverse
b0003,HSK
b4013,HSST
b2021,HSTPT
b2529,I4FE4SR
b1136,ICDHyr_reverse
b2265,ICHORS_reverse
b0593,ICHORSi
b0595,ICHORT
b4015,ICL
b2530,ICYSDS
b4267,IDOND_reverse
b1262,PRAIi
b3770,VALTA_reverse
b0026,ILETRS
b0401,LEUt2rpp_reverse
b2508,IMPD
b3161,INDOLEt2rpp_reverse
b3679,INOSTt4pp
b2889,IPDDI_reverse
b0073,IPMD
b0074,IPPS
b3774,KARA2_reverse
b1091,OGMEACPS
b0918,KDOCT2
b3198,KDOPP
b1215,KDOPS
b2257,LA4NTpp
b0344,LACZ
b2132,LACZpp
b1326,LADGMDH
b0237,LALGP
b2799,LCARS_reverse
b0343,LCTStpp_reverse
b2133,LDH_D2
b0642,LEUTRS
b1651,LGTHL
b0622,LIPAHTex
b4386,OCTNLL
b0630,LIPOCT
b0628,LIPOS
b0182,LPADSS
b0494,LPLIPAL1G181pp
b3825,LPLIPAL2G181
b2156,LYSt2pp
b3903,RMI_reverse
b3907,RMNtpp
b3600,M1PD_reverse
b0777,MALCOAMT
b1800,MALDDH
b2049,MAN1PT2
b1613,MAN6PI_reverse
b4323,MANAO_reverse
b0732,MANPGH
b0334,MCITD
b0331,MCITL2_reverse
b0333,MCITS
b2521,MCPST
b3236,MDH_reverse
b2210,MDH3
b1479,ME1
b2463,ME2
b2746,MECDPS
b4120,MELIBt2pp
b2747,MEPCT
b2942,METAT
b2114,METTRS
b3816,NI2tpp
b4242,MG2uabcpp
b0963,MGSA
b0118,MICITDr_reverse
b0403,MLTG5
b3417,MLTP3_reverse
b2919,MMCD
b0260,MMETt2pp
b2917,MMM
b4322,MNNH
b3633,MOAT2
b3624,MOAT3C
b2877,MOCDS
b0134,MOHMT
b0009,MPTAT
b0826,MPTSS
b0529,MTHFD_reverse
b3941,MTHFR2
b1059,SARCOX
b1109,NADH9
b2615,NADK
b3028,NADPHQR4
b1740,NADS1
b0931,NAMNPP
b1186,NAt3_1p5pp
b0019,NAt3_2pp
b0751,NMNPtpp
b1768,NNAM
b0639,NNATr_reverse
b1991,NNDMBRT
b0109,NNDPR
b2552,NODOy
b2744,NTD9
b4394,NTP12
b4161,NTP5
b0980,PHYTSpp
b2954,NTPP9
b2781,NTPP8
b0160,NTPTP2
b2033,O16AT
b2037,O16AUNDtpp
b2034,O16GALFT
b2032,O16GLCT1
b3187,OCTDPS
b0180,OPMEACPD
b0907,OHPBAT_reverse
b0662,OMMBLHX
b1281,OMPDC
b2907,OMPHHX
b0350,OP4ENH
b3835,OPHHX
b3642,ORPT_reverse
b2373,OXCDC
b1387,OXCOAHDH
b1014,PROD2
b0386,P5CR
b1398,PACCOAL
b0133,PANTS
b1278,PAPA181pp
b0087,PAPPT3
b1489,PDE4
b1638,PYAM5PO
b0766,PDXPP
b2320,PERD_reverse
b3546,PETNT181pp
b3916,PFK
b3176,PGAMT_reverse
b2913,PGCD
b4025,PGI_reverse
b2926,PGK_reverse
b0767,PGL
b3385,PGLYCP
b1912,PGSA181
b3821,PLIPA2G181pp
b2048,PMANM_reverse
b3412,PMEACPE
b2103,PMPK
b3974,PNTK
b3258,PNTOt4pp
b1010,POAACR
b0871,POX
b3115,PPAKr_reverse
b1015,PROt4pp
b0369,PPBNGS
b3956,PPC
b3639,PPNCL2
b3403,PPCK
b2920,PPCSCT
b2501,PPKr_reverse
b4383,PPM2_reverse
b2600,PPND
b2599,PPNDH
b3850,PPPGO3
b2536,PPPNt2rpp_reverse
b1702,PPS
b0383,PPTHpp
b4005,PRAGSr_reverse
b2499,PRAIS
b2026,PRATPP
b2476,PRASCSi
b2557,PRFGS
b2024,PRMICI_reverse
b0194,PROTRS
b1207,PRPPS_reverse
b0908,PSCVT_reverse
b4160,PSD181
b4388,PSP_L
b2585,PSSA181
b2297,PTA2
b3634,PTPATi
b0692,PTRCORNt7pp_reverse
b3073,PTRCTA
b4384,PUNP2_reverse
b2407,PUNP7_reverse
b2418,PYDXNK
b3831,PYNP2r_reverse
b3029,QMO3
b1692,QUINDH_reverse
b0750,QULNS
b4094,R15BPK
b0415,RBFSa
b1662,RBFSb
b3752,RBK
b0063,RBK_L1
b1394,REPHACCOAI_reverse
b3629,RHAT1
b2687,RHCCE
b3904,RMK
b3902,RMPA_reverse
b0638,RZ5PP
b0222,S7PI
b1745,SADH
b2705,SBTPD_reverse
b2472,SDPDS
b3359,SDPTA_reverse
b3591,SELCYSS
b1764,SELNPS
b2264,SEPHCHCS
b0586,SERASr_reverse
b3607,SERAT_reverse
b2366,SERD_D
b0893,SERTRS2
b3089,THRt4pp
b1744,SGDS
b1746,SGSAD
b2263,SHCHCS3
b3368,SHCHF
b3939,SHSL1
b1981,SKMt2pp
b1206,SO4t2pp
b1748,SOTA
b1584,SPMDAT2
b1646,SPODMpp
b1525,SSALx
b2260,SUCBZL
b2261,SUCBZS
b4123,TARTt2_3pp
b0954,T2DECAI_reverse
b1521,TAGURr_reverse
b3063,TARTRt7pp_reverse
b0368,TAUDO
b1134,TDP
b3790,TDPADGAT
b3791,TDPAGTA
b2038,TDPDRE
b2040,TDPDRR
b0915,TDSK
b0166,THDPS
b3616,THRD
b1719,THRTRS
b3116,THRt2rpp_reverse
b4382,TMDPP_reverse
b2827,TMDS
b1106,TMK
b0417,TMPK
b3993,TMPPP
b3919,TPI_reverse
b0613,TPRDCOAS
b4239,TRE6PH
b1897,TRE6PP
b1896,TRE6PS
b3519,TREH
b1197,TREHpp
b3708,TRPAS2_reverse
b3384,TRPTRS
b3991,TYRL
b1637,TYRTRS
b0179,U23GAAT
b0085,UAAGDS
b0480,UGLCURPpp
b3787,UACMAMO
b3786,UAG2E_reverse
b3189,UAGCVT
b0090,UAGPT3
b0088,UAMAGS
b0091,UAMAS
b3972,UAPGR
b0174,UDCPDPS
b0759,UDPG4E_reverse
b2036,UDPGALM
b2028,UDPGD
b2255,ULA4NFT
b2253,UDPKAAT_reverse
b0758,UGLT_reverse
b0505,UGLYCH
b0086,UGMDDS
b0096,UHGADA
b4233,UM4PL
b2256,UPLA4FNF
b2254,UPLA4FNT
b3804,UPP3S
b3997,UPPDC1
b2498,UPPRT
b1011,URACPAH
b2497,URAt2pp
b1006,URAt2rpp_reverse
b0517,URDGLYCD
b0524,USHD
b4258,VALTRS
b3572,VPAMTr_reverse
b4197,X5PL3E
b0238,XPPT
b3565,XYLI2_reverse
b4031,XYLt2pp
b3829,METS
b0126,HCO3E
b2914,RPI
