reaction,bnumber
SERAT,b3607
QULNS,b0750
G3PD2_reverse,b3608
UPP3S,b3804
DBTS,b0778
TMDS,b2827
RBFSb,b1662
U23GAAT,b0179
AIRC3_reverse,b0523
PGCD,b2913
PPBNGS,b0369
PSCVT,b0908
BTS5,b0775
KDOCT2,b0918
NADK,b2615
MEPCT,b2747
CTPS2,b2780
NNDPR,b0109
ADSS,b4177
GARFT,b2500
KDOPS,b1215
CHRPL,b4039
DHQTi,b1693
DHORTS_reverse,b1062
P5CR,b0386
G6PDH2r,b1852
RHCCE,b2687
HSST,b4013
CHORS,b2329
HMBS,b3805
ICDHyr,b1136
UAAGDS,b0085
HISTD,b2020
UAPGR,b3972
ENO,b2779
ADSK,b2750
ASP1DC,b0131
BPNT,b4214
CS,b0720
DHQS,b3389
DXPRIi,b0173
DXPS,b0420
HSK,b0003
MECDPS,b2746
METAT,b2942
OCTDPS,b3187
OMPDC,b1281
PANTS,b0133
PGAMT_reverse,b3176
SHSL1,b3939
UAGCVT,b3189
UDCPDPS,b0174
UGMDDS,b0086
PRASCSi,b2476
GLUR_reverse,b3967
DHFS,b2315
GMPS2,b2507
MDH,b3236
AIRC2,b0522
NADS1,b1740
DHDPS,b2478
DAPE,b3809
GLUTRS,b2400
GLUTRR,b1210
PRFGS,b2557
GND,b2029
GTPCI,b2153
GLU5K,b0242
KDOPP,b3198
UHGADA,b0096
GTPCII2,b1277
PGI,b4025
MOHMT,b0134
THDPS,b0166
MTHFR2,b3941
PTPATi,b3634
HPPK2,b0142
AMAOTr,b0774
3OAR140,b1093
ACGS,b2818
ACODA,b3957
ADSL2r,b1131
AGPR_reverse,b3958
AHCYSNS,b0159
AOXSr2,b0776
ASPO6,b2574
CDPMEK,b1208
CYTK1,b0910
DAPDC,b2838
DB4PS,b3041
DHAD2,b3771
DHDPRy,b0031
DHORD2,b0945
DHPPDA2,b0414
DHPS2,b3177
DTMPK,b1098
FACOAE120,b0452
FCLT,b0475
G1PACT,b3730
G3PD2,b3608
G5SD,b0243
G6PDA,b0678
GAPD,b1779
GF6PTA,b3729
GHMT2r,b2551
GK1,b3648
GLUDy_reverse,b1761
GLUPRT,b2312
GLYK,b3926
IGPS,b1262
IMPD,b2508
IPMD,b0073
LPADSS,b0182
ME2,b2463
METS,b3829
MTHFC,b0529
MTHFD,b0529
ORPT_reverse,b3642
PDX5POi,b1638
PFK,b3916
PGI_reverse,b4025
PGK,b2926
PGL,b0767
PMPK,b2103
PNTK,b3974
PPC,b3956
PPCDC,b3639
PPKr_reverse,b2501
PPND,b2600
PPNDH,b2599
PPPGO3,b3850
PPS,b1702
PRAGSr,b4005
PRAIi,b1262
PRAIS,b2499
PRMICI,b2024
PSD160,b4160
PSERT,b0907
PSSA160,b2585
PUNP1_reverse,b4384
RBFSa,b0415
RPI,b2914
TMPK,b0417
TPI,b3919
TPI_reverse,b3919
UAGDP,b3730
UAGPT3,b0090
UAMAGS,b0088
UAMAS,b0091
UDPG4E_reverse,b0759
UGLT,b0758
