PGI,-1.7732571239755108
PRFGS,-1.6584133944702417
MECDPS,-1.584696275356566
UAGPT3,-1.4508020137585114
GLUTRR,-1.2802603908506125
TMDS,-1.2650469150136372
DAPDC,-1.1075208908029062
GLUPRT,-1.1031632819033625
ORPT_reverse,-1.079052257105169
UHGADA,-1.032863977099555
PSSA160,-1.0229631552594327
ACGS,-1.0170727229718965
AIRC2,-1.0143709578051885
TMPK,-0.9360070602282738
DHORD2,-0.9211708128581403
LPADSS,-0.9191042652851942
PPCDC,-0.9131806589791956
PSERT,-0.8999554108316223
METS,-0.8938310890856436
PRAIS,-0.8646524069383106
ADSL2r,-0.8492923137177759
PGCD,-0.8160272953541705
DHFS,-0.7376512027588522
FACOAE120,-0.7057684293874028
PPC,-0.6907588576587798
G1PACT,-0.6548015017102599
UAAGDS,-0.6339127729359085
RBFSb,-0.6163084744770719
G6PDH2r,-0.6053174205561098
PPND,-0.5606280613106884
UAGDP,-0.5494769505586682
KDOPP,-0.5487442755601897
PFK,-0.5184186000586242
GARFT,-0.48745127156742885
MTHFD,-0.4781158464079527
CS,-0.4676032420614531
UGMDDS,-0.4602844860330648
CTPS2,-0.403320102765958
DHQS,-0.3907838689996579
AIRC3_reverse,-0.3362351092519158
PMPK,-0.32928479602767086
DB4PS,-0.32112091932539444
IGPS,-0.3015926382142886
PRAIi,-0.30038793707591804
FCLT,-0.2975458211738493
HSK,-0.2868537036436176
GMPS2,-0.28081805973317786
GLU5K,-0.2758363161622519
DHAD2,-0.2654260834245705
QULNS,-0.2591786313263341
PRAGSr,-0.21387626354198042
ADSS,-0.20091675143297485
GHMT2r,-0.19772760847427973
RBFSa,-0.1757520941448636
GND,-0.14612497848929307
DTMPK,-0.13542016430189763
UAMAGS,-0.1262871621076933
CHORS,-0.12499848123300228
UPP3S,-0.11140785264792408
G5SD,-0.08817712056521088
BPNT,-0.066922848664412
PPPGO3,-0.06301007891981492
UAPGR,-0.060650998591458505
NNDPR,-0.04839748009087991
GF6PTA,-0.048273037884204895
PNTK,0.031167528279920694
DAPE,0.037682067644845274
SHSL1,0.03870860388051445
UAGCVT,0.061369339638370546
3OAR140,0.08061378834490333
GTPCII2,0.09791778556143749
GLUR_reverse,0.10559734662787135
HMBS,0.1074812988815339
GAPD,0.1091552844934065
OMPDC,0.11492788835502066
ENO,0.12997035831718273
HSST,0.1396905373020334
DHQTi,0.14156000186566353
PPNDH,0.14501135637263873
UAMAS,0.15942999879771835
IMPD,0.17255696187592395
DHDPRy,0.1898655218704195
ADSK,0.20596639767436553
MTHFR2,0.2308733937959031
PSCVT,0.24800405031546213
PGAMT_reverse,0.29172537327354353
GTPCI,0.30166123628500197
MTHFC,0.32883704325050145
BTS5,0.37400746195775314
G3PD2_reverse,0.37475023570110744
GK1,0.37593739758861444
PPBNGS,0.3814531111347598
SERAT,0.3820209842146558
DBTS,0.38562541115704674
PRMICI,0.4252207412088169
UDCPDPS,0.4957738354020727
NADK,0.5080360342321655
PRASCSi,0.5292844408209472
TPI,0.5585040026570525
PSD160,0.5667503551079414
HPPK2,0.5793257227381052
GLUDy_reverse,0.600557474996934
HISTD,0.6179539144211317
U23GAAT,0.6236855360763167
DXPRIi,0.6766184001051927
ICDHyr,0.7352262777241887
DHDPS,0.7401472469477157
MOHMT,0.7517372472798084
THDPS,0.775273241450497
MEPCT,0.8446431737141982
OCTDPS,0.8904805165141647
KDOPS,0.894499711338574
CYTK1,0.8948205779096645
KDOCT2,0.9922792265537486
PTPATi,1.0684455541703786
CHRPL,1.1238289434295015
IPMD,1.1911759751514963
DHPPDA2,1.2676388646494294
DHPS2,1.3542765995763117
ASP1DC,1.3700959047673253
PGL,1.4536845434009331
GLUTRS,1.4577817838614682
DHORTS_reverse,1.4698096174743007
AOXSr2,1.5828531167803963
PANTS,1.640785016365074
AMAOTr,1.7840752171435597
PDX5POi,1.8232251735296359
MDH,1.8534882767490641
DXPS,1.873260921522871
P5CR,1.9047181871852907
ACODA,1.9303350013082297
NADS1,1.9790295265804805
RHCCE,2.021240932104396
METAT,2.136324198277865
AHCYSNS,2.2380335340261626
